bank_transaction_id,merchant_id,account_id,posted_at,value_date,direction,amount_paise,currency,narration,utr
BANK_TXN_0001,MERCHANT_001,ACCT_001,2026-08-11T11:00:00+00:00,2026-08-11,CREDIT,236481,INR,NEFT RAZORPAY SET_0001 UTR0001,UTR0001
BANK_TXN_0002,MERCHANT_001,ACCT_001,2026-08-11T11:00:00+00:00,2026-08-11,CREDIT,357629,INR,NEFT RAZORPAY SET_0002 UTR0002,UTR0002
BANK_TXN_0003,MERCHANT_001,ACCT_001,2026-08-07T11:00:00+00:00,2026-08-07,CREDIT,77082,INR,NEFT RAZORPAY SET_0003 UTR0003,UTR0003
BANK_TXN_0004,MERCHANT_001,ACCT_001,2026-08-07T11:00:00+00:00,2026-08-07,CREDIT,150877,INR,NEFT RAZORPAY SET_0004 UTR0004,UTR0004
BANK_TXN_0005,MERCHANT_001,ACCT_001,2026-08-06T11:00:00+00:00,2026-08-06,CREDIT,149919,INR,NEFT RAZORPAY SET_0005 UTR0005,UTR0005
BANK_TXN_0006,MERCHANT_001,ACCT_001,2026-08-06T11:00:00+00:00,2026-08-06,CREDIT,430045,INR,NEFT RAZORPAY SET_0006 UTR0006,UTR0006
BANK_TXN_0007,MERCHANT_001,ACCT_001,2026-08-12T11:00:00+00:00,2026-08-12,CREDIT,106331,INR,NEFT RAZORPAY SET_0007 UTR0007,UTR0007
BANK_TXN_0008,MERCHANT_001,ACCT_001,2026-08-17T11:00:00+00:00,2026-08-17,CREDIT,471382,INR,NEFT RAZORPAY SET_0008 UTR0008,UTR0008
BANK_TXN_0009,MERCHANT_001,ACCT_001,2026-08-10T11:00:00+00:00,2026-08-10,CREDIT,202095,INR,NEFT RAZORPAY SET_0009 UTR0009,UTR0009
BANK_TXN_0010,MERCHANT_001,ACCT_001,2026-08-06T11:00:00+00:00,2026-08-06,CREDIT,69944,INR,NEFT RAZORPAY SET_0010 UTR0010,UTR0010
BANK_TXN_0011,MERCHANT_001,ACCT_001,2026-08-13T11:00:00+00:00,2026-08-13,CREDIT,226578,INR,NEFT RAZORPAY SET_0011 UTR0011,UTR0011
BANK_TXN_0012,MERCHANT_001,ACCT_001,2026-08-17T11:00:00+00:00,2026-08-17,CREDIT,109042,INR,NEFT RAZORPAY SET_0012 UTR0012,UTR0012
BANK_TXN_0013,MERCHANT_001,ACCT_001,2026-08-06T11:00:00+00:00,2026-08-06,CREDIT,239912,INR,NEFT RAZORPAY SET_0013 UTR0013,UTR0013
BANK_TXN_0014,MERCHANT_001,ACCT_001,2026-08-11T11:00:00+00:00,2026-08-11,CREDIT,113703,INR,NEFT RAZORPAY SET_0014 UTR0014,UTR0014
BANK_TXN_0015,MERCHANT_001,ACCT_001,2026-08-07T11:00:00+00:00,2026-08-07,CREDIT,337884,INR,NEFT RAZORPAY SET_0015 UTR0015,UTR0015
BANK_TXN_0016,MERCHANT_001,ACCT_001,2026-08-10T11:00:00+00:00,2026-08-10,CREDIT,181940,INR,NEFT RAZORPAY SET_0016 UTR0016,UTR0016
BANK_TXN_0017,MERCHANT_001,ACCT_001,2026-08-12T11:00:00+00:00,2026-08-12,CREDIT,443416,INR,NEFT RAZORPAY SET_0017 UTR0017,UTR0017
BANK_TXN_0018,MERCHANT_001,ACCT_001,2026-08-05T11:00:00+00:00,2026-08-05,CREDIT,422196,INR,NEFT RAZORPAY SET_0018 UTR0018,UTR0018
