order_id,merchant_id,order_created_at,order_amount_paise,currency,expected_payment_status
ORD_0001,MERCHANT_001,2026-08-06T09:00:00+00:00,242195,INR,captured
ORD_0002,MERCHANT_001,2026-08-07T09:00:00+00:00,366272,INR,captured
ORD_0003,MERCHANT_001,2026-08-04T09:00:00+00:00,78944,INR,captured
ORD_0004,MERCHANT_001,2026-08-04T09:00:00+00:00,154523,INR,captured
ORD_0005,MERCHANT_001,2026-08-03T09:00:00+00:00,153541,INR,captured
ORD_0006,MERCHANT_001,2026-08-03T09:00:00+00:00,440438,INR,captured
ORD_0007,MERCHANT_001,2026-08-09T09:00:00+00:00,108901,INR,captured
ORD_0008,MERCHANT_001,2026-08-12T09:00:00+00:00,482774,INR,captured
ORD_0009,MERCHANT_001,2026-08-05T09:00:00+00:00,206979,INR,captured
ORD_0010,MERCHANT_001,2026-08-03T09:00:00+00:00,71633,INR,captured
ORD_0011,MERCHANT_001,2026-08-10T09:00:00+00:00,232054,INR,captured
ORD_0012,MERCHANT_001,2026-08-12T09:00:00+00:00,111676,INR,captured
ORD_0013,MERCHANT_001,2026-08-03T09:00:00+00:00,245710,INR,captured
ORD_0014,MERCHANT_001,2026-08-08T09:00:00+00:00,116451,INR,captured
ORD_0015,MERCHANT_001,2026-08-04T09:00:00+00:00,346050,INR,captured
ORD_0016,MERCHANT_001,2026-08-05T09:00:00+00:00,186336,INR,captured
ORD_0017,MERCHANT_001,2026-08-09T09:00:00+00:00,454132,INR,captured
ORD_0018,MERCHANT_001,2026-08-02T09:00:00+00:00,432399,INR,captured
ORD_0019,MERCHANT_001,2026-08-01T09:00:00+00:00,379734,INR,captured
ORD_0020,MERCHANT_001,2026-08-14T09:00:00+00:00,465454,INR,captured
ORD_B0021_0,MERCHANT_001,2026-08-11T09:00:00+00:00,105748,INR,captured
ORD_B0021_1,MERCHANT_001,2026-08-11T10:00:00+00:00,183033,INR,captured
ORD_B0021_2,MERCHANT_001,2026-08-11T11:00:00+00:00,89330,INR,captured
ORD_B0021_3,MERCHANT_001,2026-08-11T12:00:00+00:00,108881,INR,captured
ORD_B0022_0,MERCHANT_001,2026-08-09T09:00:00+00:00,199289,INR,captured
ORD_B0022_1,MERCHANT_001,2026-08-09T10:00:00+00:00,131319,INR,captured
ORD_B0022_2,MERCHANT_001,2026-08-09T11:00:00+00:00,175053,INR,captured
ORD_B0022_3,MERCHANT_001,2026-08-09T12:00:00+00:00,174955,INR,captured
ORD_B0022_4,MERCHANT_001,2026-08-09T13:00:00+00:00,193202,INR,captured
ORD_B0022_5,MERCHANT_001,2026-08-09T14:00:00+00:00,152556,INR,captured
ORD_B0023_0,MERCHANT_001,2026-08-08T09:00:00+00:00,30186,INR,captured
ORD_B0023_1,MERCHANT_001,2026-08-08T10:00:00+00:00,190844,INR,captured
ORD_B0023_2,MERCHANT_001,2026-08-08T11:00:00+00:00,58321,INR,captured
ORD_B0024_0,MERCHANT_001,2026-08-03T09:00:00+00:00,34879,INR,captured
ORD_B0024_1,MERCHANT_001,2026-08-03T10:00:00+00:00,160084,INR,captured
ORD_B0024_2,MERCHANT_001,2026-08-03T11:00:00+00:00,33849,INR,captured
ORD_B0025_0,MERCHANT_001,2026-08-03T09:00:00+00:00,188227,INR,captured
ORD_B0025_1,MERCHANT_001,2026-08-03T10:00:00+00:00,47600,INR,captured
ORD_B0025_2,MERCHANT_001,2026-08-03T11:00:00+00:00,143070,INR,captured
ORD_B0025_3,MERCHANT_001,2026-08-03T12:00:00+00:00,51904,INR,captured
ORD_B0026_0,MERCHANT_001,2026-08-06T09:00:00+00:00,115011,INR,captured
ORD_B0026_1,MERCHANT_001,2026-08-06T10:00:00+00:00,81539,INR,captured
ORD_B0026_2,MERCHANT_001,2026-08-06T11:00:00+00:00,91054,INR,captured
ORD_B0027_0,MERCHANT_001,2026-08-05T09:00:00+00:00,147330,INR,captured
ORD_B0027_1,MERCHANT_001,2026-08-05T10:00:00+00:00,74189,INR,captured
ORD_B0027_2,MERCHANT_001,2026-08-05T11:00:00+00:00,81124,INR,captured
ORD_B0027_3,MERCHANT_001,2026-08-05T12:00:00+00:00,86354,INR,captured
ORD_B0027_4,MERCHANT_001,2026-08-05T13:00:00+00:00,103470,INR,captured
ORD_B0028_0,MERCHANT_001,2026-08-09T09:00:00+00:00,99039,INR,captured
ORD_B0028_1,MERCHANT_001,2026-08-09T10:00:00+00:00,31378,INR,captured
ORD_B0028_2,MERCHANT_001,2026-08-09T11:00:00+00:00,45922,INR,captured
ORD_B0028_3,MERCHANT_001,2026-08-09T12:00:00+00:00,87809,INR,captured
ORD_B0028_4,MERCHANT_001,2026-08-09T13:00:00+00:00,31668,INR,captured
ORD_B0029_0,MERCHANT_001,2026-08-08T09:00:00+00:00,87813,INR,captured
ORD_B0029_1,MERCHANT_001,2026-08-08T10:00:00+00:00,160808,INR,captured
ORD_B0029_2,MERCHANT_001,2026-08-08T11:00:00+00:00,157020,INR,captured
ORD_B0029_3,MERCHANT_001,2026-08-08T12:00:00+00:00,53623,INR,captured
ORD_B0029_4,MERCHANT_001,2026-08-08T13:00:00+00:00,134434,INR,captured
ORD_B0029_5,MERCHANT_001,2026-08-08T14:00:00+00:00,67977,INR,captured
ORD_B0030_0,MERCHANT_001,2026-08-09T09:00:00+00:00,141916,INR,captured
ORD_B0030_1,MERCHANT_001,2026-08-09T10:00:00+00:00,163074,INR,captured
ORD_B0030_2,MERCHANT_001,2026-08-09T11:00:00+00:00,196388,INR,captured
ORD_T0031,MERCHANT_001,2026-08-08T10:00:00+00:00,48666,INR,captured
ORD_T0032,MERCHANT_001,2026-08-08T10:00:00+00:00,334570,INR,captured
ORD_T0033,MERCHANT_001,2026-08-04T10:00:00+00:00,92195,INR,captured
ORD_T0034,MERCHANT_001,2026-08-02T10:00:00+00:00,49970,INR,captured
ORD_T0035,MERCHANT_001,2026-08-06T10:00:00+00:00,44351,INR,captured
ORD_T0036,MERCHANT_001,2026-08-05T10:00:00+00:00,303230,INR,captured
ORD_T0037,MERCHANT_001,2026-08-01T10:00:00+00:00,273507,INR,captured
ORD_H0038,MERCHANT_001,2026-08-06T10:00:00+00:00,228193,INR,captured
ORD_H0039,MERCHANT_001,2026-08-06T10:00:00+00:00,70874,INR,captured
ORD_H0040,MERCHANT_001,2026-08-06T10:00:00+00:00,61546,INR,captured
ORD_H0041,MERCHANT_001,2026-08-06T10:00:00+00:00,102609,INR,captured
ORD_R0042,MERCHANT_001,2026-08-05T10:00:00+00:00,366199,INR,captured
ORD_R0043,MERCHANT_001,2026-08-07T10:00:00+00:00,301920,INR,captured
ORD_R0044,MERCHANT_001,2026-08-09T10:00:00+00:00,121073,INR,captured
ORD_R0045,MERCHANT_001,2026-08-06T10:00:00+00:00,196113,INR,captured
ORD_R0046,MERCHANT_001,2026-08-07T10:00:00+00:00,193603,INR,captured
ORD_R0047,MERCHANT_001,2026-08-01T10:00:00+00:00,301645,INR,captured
ORD_CB0048,MERCHANT_001,2026-08-11T10:00:00+00:00,320717,INR,captured
ORD_CB0049,MERCHANT_001,2026-08-10T10:00:00+00:00,108411,INR,captured
ORD_CB0050,MERCHANT_001,2026-08-10T10:00:00+00:00,345225,INR,captured
ORD_CB0051,MERCHANT_001,2026-08-11T10:00:00+00:00,347928,INR,captured
ORD_SP0052,MERCHANT_001,2026-08-10T10:00:00+00:00,521766,INR,captured
ORD_SP0053,MERCHANT_001,2026-08-02T10:00:00+00:00,723996,INR,captured
ORD_SP0054,MERCHANT_001,2026-08-05T10:00:00+00:00,598709,INR,captured
ORD_SP0055,MERCHANT_001,2026-08-07T10:00:00+00:00,474201,INR,captured
ORD_FV0056,MERCHANT_001,2026-08-11T10:00:00+00:00,468327,INR,captured
ORD_FV0057,MERCHANT_001,2026-08-04T10:00:00+00:00,112528,INR,captured
ORD_FV0058,MERCHANT_001,2026-08-02T10:00:00+00:00,207949,INR,captured
ORD_FV0059,MERCHANT_001,2026-08-06T10:00:00+00:00,143346,INR,captured
ORD_MN0060,MERCHANT_001,2026-08-06T10:00:00+00:00,135219,INR,captured
ORD_MN0061,MERCHANT_001,2026-08-02T10:00:00+00:00,219534,INR,captured
ORD_MN0062,MERCHANT_001,2026-08-06T10:00:00+00:00,125349,INR,captured
ORD_MN0063,MERCHANT_001,2026-08-09T10:00:00+00:00,253693,INR,captured
ORD_MN0064,MERCHANT_001,2026-08-06T10:00:00+00:00,228549,INR,captured
ORD_MAL0065,MERCHANT_001,2026-08-05T10:00:00+00:00,92644,INR,captured
ORD_MAL0065,MERCHANT_001,2026-08-05T11:00:00+00:00,95187,INR,captured
ORD_MAL0066,MERCHANT_001,2026-08-08T10:00:00+00:00,75295,INR,captured
ORD_MAL0066,MERCHANT_001,2026-08-08T11:00:00+00:00,79956,INR,captured
ORD_MAL0067,MERCHANT_001,2026-08-01T10:00:00+00:00,138537,INR,captured
ORD_MAL0067,MERCHANT_001,2026-08-01T11:00:00+00:00,140947,INR,captured
ORD_MAL0068,MERCHANT_001,2026-08-10T10:00:00+00:00,176898,INR,captured
ORD_MAL0068,MERCHANT_001,2026-08-10T11:00:00+00:00,179115,INR,captured
ORD_MS0069,MERCHANT_001,2026-08-01T10:00:00+00:00,350602,INR,captured
ORD_MS0070,MERCHANT_001,2026-08-01T10:00:00+00:00,394430,INR,captured
ORD_MS0071,MERCHANT_001,2026-08-01T10:00:00+00:00,333605,INR,captured
ORD_MS0072,MERCHANT_001,2026-08-01T10:00:00+00:00,227453,INR,captured
ORD_AMB_0073_A,MERCHANT_001,2026-08-07T10:00:00+00:00,189753,INR,captured
ORD_AMB_0073_B,MERCHANT_001,2026-08-07T10:00:00+00:00,189753,INR,captured
ORD_AMB_0074_A,MERCHANT_001,2026-08-01T10:00:00+00:00,220769,INR,captured
ORD_AMB_0074_B,MERCHANT_001,2026-08-01T10:00:00+00:00,220769,INR,captured
ORD_AMB_0075_A,MERCHANT_001,2026-08-06T10:00:00+00:00,172401,INR,captured
ORD_AMB_0075_B,MERCHANT_001,2026-08-06T10:00:00+00:00,172401,INR,captured
