payment_id,merchant_id,order_id,payment_status,amount_paise,currency,captured_at,payment_method,gateway_reference
PAY_0001,MERCHANT_001,ORD_0001,captured,242195,INR,2026-08-06T10:00:00+00:00,upi,GW_0001
PAY_0002,MERCHANT_001,ORD_0002,captured,366272,INR,2026-08-07T10:00:00+00:00,upi,GW_0002
PAY_0003,MERCHANT_001,ORD_0003,captured,78944,INR,2026-08-04T10:00:00+00:00,upi,GW_0003
PAY_0004,MERCHANT_001,ORD_0004,captured,154523,INR,2026-08-04T10:00:00+00:00,upi,GW_0004
PAY_0005,MERCHANT_001,ORD_0005,captured,153541,INR,2026-08-03T10:00:00+00:00,upi,GW_0005
PAY_0006,MERCHANT_001,ORD_0006,captured,440438,INR,2026-08-03T10:00:00+00:00,upi,GW_0006
PAY_0007,MERCHANT_001,ORD_0007,captured,108901,INR,2026-08-09T10:00:00+00:00,upi,GW_0007
PAY_0008,MERCHANT_001,ORD_0008,captured,482774,INR,2026-08-12T10:00:00+00:00,upi,GW_0008
PAY_0009,MERCHANT_001,ORD_0009,captured,206979,INR,2026-08-05T10:00:00+00:00,upi,GW_0009
PAY_0010,MERCHANT_001,ORD_0010,captured,71633,INR,2026-08-03T10:00:00+00:00,upi,GW_0010
PAY_0011,MERCHANT_001,ORD_0011,captured,232054,INR,2026-08-10T10:00:00+00:00,upi,GW_0011
PAY_0012,MERCHANT_001,ORD_0012,captured,111676,INR,2026-08-12T10:00:00+00:00,upi,GW_0012
PAY_0013,MERCHANT_001,ORD_0013,captured,245710,INR,2026-08-03T10:00:00+00:00,upi,GW_0013
PAY_0014,MERCHANT_001,ORD_0014,captured,116451,INR,2026-08-08T10:00:00+00:00,upi,GW_0014
PAY_0015,MERCHANT_001,ORD_0015,captured,346050,INR,2026-08-04T10:00:00+00:00,upi,GW_0015
PAY_0016,MERCHANT_001,ORD_0016,captured,186336,INR,2026-08-05T10:00:00+00:00,upi,GW_0016
PAY_0017,MERCHANT_001,ORD_0017,captured,454132,INR,2026-08-09T10:00:00+00:00,upi,GW_0017
PAY_0018,MERCHANT_001,ORD_0018,captured,432399,INR,2026-08-02T10:00:00+00:00,upi,GW_0018
PAY_0019,MERCHANT_001,ORD_0019,captured,379734,INR,2026-08-01T10:00:00+00:00,upi,GW_0019
PAY_0020,MERCHANT_001,ORD_0020,captured,465454,INR,2026-08-14T10:00:00+00:00,upi,GW_0020
PAY_B0021_0,MERCHANT_001,ORD_B0021_0,captured,105748,INR,2026-08-11T10:00:00+00:00,upi,GW_B0021_0
PAY_B0021_1,MERCHANT_001,ORD_B0021_1,captured,183033,INR,2026-08-11T11:00:00+00:00,upi,GW_B0021_1
PAY_B0021_2,MERCHANT_001,ORD_B0021_2,captured,89330,INR,2026-08-11T12:00:00+00:00,upi,GW_B0021_2
PAY_B0021_3,MERCHANT_001,ORD_B0021_3,captured,108881,INR,2026-08-11T13:00:00+00:00,upi,GW_B0021_3
PAY_B0022_0,MERCHANT_001,ORD_B0022_0,captured,199289,INR,2026-08-09T10:00:00+00:00,upi,GW_B0022_0
PAY_B0022_1,MERCHANT_001,ORD_B0022_1,captured,131319,INR,2026-08-09T11:00:00+00:00,upi,GW_B0022_1
PAY_B0022_2,MERCHANT_001,ORD_B0022_2,captured,175053,INR,2026-08-09T12:00:00+00:00,upi,GW_B0022_2
PAY_B0022_3,MERCHANT_001,ORD_B0022_3,captured,174955,INR,2026-08-09T13:00:00+00:00,upi,GW_B0022_3
PAY_B0022_4,MERCHANT_001,ORD_B0022_4,captured,193202,INR,2026-08-09T14:00:00+00:00,upi,GW_B0022_4
PAY_B0022_5,MERCHANT_001,ORD_B0022_5,captured,152556,INR,2026-08-09T15:00:00+00:00,upi,GW_B0022_5
PAY_B0023_0,MERCHANT_001,ORD_B0023_0,captured,30186,INR,2026-08-08T10:00:00+00:00,upi,GW_B0023_0
PAY_B0023_1,MERCHANT_001,ORD_B0023_1,captured,190844,INR,2026-08-08T11:00:00+00:00,upi,GW_B0023_1
PAY_B0023_2,MERCHANT_001,ORD_B0023_2,captured,58321,INR,2026-08-08T12:00:00+00:00,upi,GW_B0023_2
PAY_B0024_0,MERCHANT_001,ORD_B0024_0,captured,34879,INR,2026-08-03T10:00:00+00:00,upi,GW_B0024_0
PAY_B0024_1,MERCHANT_001,ORD_B0024_1,captured,160084,INR,2026-08-03T11:00:00+00:00,upi,GW_B0024_1
PAY_B0024_2,MERCHANT_001,ORD_B0024_2,captured,33849,INR,2026-08-03T12:00:00+00:00,upi,GW_B0024_2
PAY_B0025_0,MERCHANT_001,ORD_B0025_0,captured,188227,INR,2026-08-03T10:00:00+00:00,upi,GW_B0025_0
PAY_B0025_1,MERCHANT_001,ORD_B0025_1,captured,47600,INR,2026-08-03T11:00:00+00:00,upi,GW_B0025_1
PAY_B0025_2,MERCHANT_001,ORD_B0025_2,captured,143070,INR,2026-08-03T12:00:00+00:00,upi,GW_B0025_2
PAY_B0025_3,MERCHANT_001,ORD_B0025_3,captured,51904,INR,2026-08-03T13:00:00+00:00,upi,GW_B0025_3
PAY_B0026_0,MERCHANT_001,ORD_B0026_0,captured,115011,INR,2026-08-06T10:00:00+00:00,upi,GW_B0026_0
PAY_B0026_1,MERCHANT_001,ORD_B0026_1,captured,81539,INR,2026-08-06T11:00:00+00:00,upi,GW_B0026_1
PAY_B0026_2,MERCHANT_001,ORD_B0026_2,captured,91054,INR,2026-08-06T12:00:00+00:00,upi,GW_B0026_2
PAY_B0027_0,MERCHANT_001,ORD_B0027_0,captured,147330,INR,2026-08-05T10:00:00+00:00,upi,GW_B0027_0
PAY_B0027_1,MERCHANT_001,ORD_B0027_1,captured,74189,INR,2026-08-05T11:00:00+00:00,upi,GW_B0027_1
PAY_B0027_2,MERCHANT_001,ORD_B0027_2,captured,81124,INR,2026-08-05T12:00:00+00:00,upi,GW_B0027_2
PAY_B0027_3,MERCHANT_001,ORD_B0027_3,captured,86354,INR,2026-08-05T13:00:00+00:00,upi,GW_B0027_3
PAY_B0027_4,MERCHANT_001,ORD_B0027_4,captured,103470,INR,2026-08-05T14:00:00+00:00,upi,GW_B0027_4
PAY_B0028_0,MERCHANT_001,ORD_B0028_0,captured,99039,INR,2026-08-09T10:00:00+00:00,upi,GW_B0028_0
PAY_B0028_1,MERCHANT_001,ORD_B0028_1,captured,31378,INR,2026-08-09T11:00:00+00:00,upi,GW_B0028_1
PAY_B0028_2,MERCHANT_001,ORD_B0028_2,captured,45922,INR,2026-08-09T12:00:00+00:00,upi,GW_B0028_2
PAY_B0028_3,MERCHANT_001,ORD_B0028_3,captured,87809,INR,2026-08-09T13:00:00+00:00,upi,GW_B0028_3
PAY_B0028_4,MERCHANT_001,ORD_B0028_4,captured,31668,INR,2026-08-09T14:00:00+00:00,upi,GW_B0028_4
PAY_B0029_0,MERCHANT_001,ORD_B0029_0,captured,87813,INR,2026-08-08T10:00:00+00:00,upi,GW_B0029_0
PAY_B0029_1,MERCHANT_001,ORD_B0029_1,captured,160808,INR,2026-08-08T11:00:00+00:00,upi,GW_B0029_1
PAY_B0029_2,MERCHANT_001,ORD_B0029_2,captured,157020,INR,2026-08-08T12:00:00+00:00,upi,GW_B0029_2
PAY_B0029_3,MERCHANT_001,ORD_B0029_3,captured,53623,INR,2026-08-08T13:00:00+00:00,upi,GW_B0029_3
PAY_B0029_4,MERCHANT_001,ORD_B0029_4,captured,134434,INR,2026-08-08T14:00:00+00:00,upi,GW_B0029_4
PAY_B0029_5,MERCHANT_001,ORD_B0029_5,captured,67977,INR,2026-08-08T15:00:00+00:00,upi,GW_B0029_5
PAY_B0030_0,MERCHANT_001,ORD_B0030_0,captured,141916,INR,2026-08-09T10:00:00+00:00,upi,GW_B0030_0
PAY_B0030_1,MERCHANT_001,ORD_B0030_1,captured,163074,INR,2026-08-09T11:00:00+00:00,upi,GW_B0030_1
PAY_B0030_2,MERCHANT_001,ORD_B0030_2,captured,196388,INR,2026-08-09T12:00:00+00:00,upi,GW_B0030_2
PAY_T0031,MERCHANT_001,ORD_T0031,captured,48666,INR,2026-08-08T10:00:00+00:00,upi,GW_T0031
PAY_T0032,MERCHANT_001,ORD_T0032,captured,334570,INR,2026-08-08T10:00:00+00:00,upi,GW_T0032
PAY_T0033,MERCHANT_001,ORD_T0033,captured,92195,INR,2026-08-04T10:00:00+00:00,upi,GW_T0033
PAY_T0034,MERCHANT_001,ORD_T0034,captured,49970,INR,2026-08-02T10:00:00+00:00,upi,GW_T0034
PAY_T0035,MERCHANT_001,ORD_T0035,captured,44351,INR,2026-08-06T10:00:00+00:00,upi,GW_T0035
PAY_T0036,MERCHANT_001,ORD_T0036,captured,303230,INR,2026-08-05T10:00:00+00:00,upi,GW_T0036
PAY_T0037,MERCHANT_001,ORD_T0037,captured,273507,INR,2026-08-01T10:00:00+00:00,upi,GW_T0037
PAY_H0038,MERCHANT_001,ORD_H0038,captured,228193,INR,2026-08-06T10:00:00+00:00,upi,GW_H0038
PAY_H0039,MERCHANT_001,ORD_H0039,captured,70874,INR,2026-08-06T10:00:00+00:00,upi,GW_H0039
PAY_H0040,MERCHANT_001,ORD_H0040,captured,61546,INR,2026-08-06T10:00:00+00:00,upi,GW_H0040
PAY_H0041,MERCHANT_001,ORD_H0041,captured,102609,INR,2026-08-06T10:00:00+00:00,upi,GW_H0041
PAY_R0042,MERCHANT_001,ORD_R0042,refunded,366199,INR,2026-08-05T10:00:00+00:00,upi,GW_R0042
PAY_R0043,MERCHANT_001,ORD_R0043,captured,301920,INR,2026-08-07T10:00:00+00:00,upi,GW_R0043
PAY_R0044,MERCHANT_001,ORD_R0044,refunded,121073,INR,2026-08-09T10:00:00+00:00,upi,GW_R0044
PAY_R0045,MERCHANT_001,ORD_R0045,refunded,196113,INR,2026-08-06T10:00:00+00:00,upi,GW_R0045
PAY_R0046,MERCHANT_001,ORD_R0046,refunded,193603,INR,2026-08-07T10:00:00+00:00,upi,GW_R0046
PAY_R0047,MERCHANT_001,ORD_R0047,refunded,301645,INR,2026-08-01T10:00:00+00:00,upi,GW_R0047
PAY_CB0048,MERCHANT_001,ORD_CB0048,captured,320717,INR,2026-08-11T10:00:00+00:00,upi,GW_CB0048
PAY_CB0049,MERCHANT_001,ORD_CB0049,captured,108411,INR,2026-08-10T10:00:00+00:00,upi,GW_CB0049
PAY_CB0050,MERCHANT_001,ORD_CB0050,captured,345225,INR,2026-08-10T10:00:00+00:00,upi,GW_CB0050
PAY_CB0051,MERCHANT_001,ORD_CB0051,captured,347928,INR,2026-08-11T10:00:00+00:00,upi,GW_CB0051
PAY_SP0052,MERCHANT_001,ORD_SP0052,captured,521766,INR,2026-08-10T10:00:00+00:00,upi,GW_SP0052
PAY_SP0053,MERCHANT_001,ORD_SP0053,captured,723996,INR,2026-08-02T10:00:00+00:00,upi,GW_SP0053
PAY_SP0054,MERCHANT_001,ORD_SP0054,captured,598709,INR,2026-08-05T10:00:00+00:00,upi,GW_SP0054
PAY_SP0055,MERCHANT_001,ORD_SP0055,captured,474201,INR,2026-08-07T10:00:00+00:00,upi,GW_SP0055
PAY_FV0056,MERCHANT_001,ORD_FV0056,captured,468327,INR,2026-08-11T10:00:00+00:00,upi,GW_FV0056
PAY_FV0057,MERCHANT_001,ORD_FV0057,captured,112528,INR,2026-08-04T10:00:00+00:00,upi,GW_FV0057
PAY_FV0058,MERCHANT_001,ORD_FV0058,captured,207949,INR,2026-08-02T10:00:00+00:00,upi,GW_FV0058
PAY_FV0059,MERCHANT_001,ORD_FV0059,captured,143346,INR,2026-08-06T10:00:00+00:00,upi,GW_FV0059
PAY_MN0060,MERCHANT_001,ORD_MN0060,captured,135219,INR,2026-08-06T10:00:00+00:00,upi,GW_MN0060
PAY_MN0061,MERCHANT_001,ORD_MN0061,captured,219534,INR,2026-08-02T10:00:00+00:00,upi,GW_MN0061
PAY_MN0062,MERCHANT_001,ORD_MN0062,captured,125349,INR,2026-08-06T10:00:00+00:00,upi,GW_MN0062
PAY_MN0063,MERCHANT_001,ORD_MN0063,captured,253693,INR,2026-08-09T10:00:00+00:00,upi,GW_MN0063
PAY_MN0064,MERCHANT_001,ORD_MN0064,captured,228549,INR,2026-08-06T10:00:00+00:00,upi,GW_MN0064
PAY_MAL0065,MERCHANT_001,ORD_MAL0065,captured,92644,INR,2026-08-05T10:00:00+00:00,upi,GW_MAL0065
PAY_MAL0066,MERCHANT_001,ORD_MAL0066,captured,75295,INR,2026-08-08T10:00:00+00:00,upi,GW_MAL0066
PAY_MAL0067,MERCHANT_001,ORD_MAL0067,captured,138537,INR,2026-08-01T10:00:00+00:00,upi,GW_MAL0067
PAY_MAL0068,MERCHANT_001,ORD_MAL0068,captured,176898,INR,2026-08-10T10:00:00+00:00,upi,GW_MAL0068
PAY_MS0069,MERCHANT_001,ORD_MS0069,captured,350602,INR,2026-08-01T10:00:00+00:00,upi,GW_MS0069
PAY_MS0070,MERCHANT_001,ORD_MS0070,captured,394430,INR,2026-08-01T10:00:00+00:00,upi,GW_MS0070
PAY_MS0071,MERCHANT_001,ORD_MS0071,captured,333605,INR,2026-08-01T10:00:00+00:00,upi,GW_MS0071
PAY_MS0072,MERCHANT_001,ORD_MS0072,captured,227453,INR,2026-08-01T10:00:00+00:00,upi,GW_MS0072
PAY_AMB_0073_A,MERCHANT_001,ORD_AMB_0073_A,captured,189753,INR,2026-08-07T10:00:00+00:00,upi,GW_AMB0073_A
PAY_AMB_0073_B,MERCHANT_001,ORD_AMB_0073_B,captured,189753,INR,2026-08-07T10:00:00+00:00,upi,GW_AMB0073_B
PAY_AMB_0074_A,MERCHANT_001,ORD_AMB_0074_A,captured,220769,INR,2026-08-01T10:00:00+00:00,upi,GW_AMB0074_A
PAY_AMB_0074_B,MERCHANT_001,ORD_AMB_0074_B,captured,220769,INR,2026-08-01T10:00:00+00:00,upi,GW_AMB0074_B
PAY_AMB_0075_A,MERCHANT_001,ORD_AMB_0075_A,captured,172401,INR,2026-08-06T10:00:00+00:00,upi,GW_AMB0075_A
PAY_AMB_0075_B,MERCHANT_001,ORD_AMB_0075_B,captured,172401,INR,2026-08-06T10:00:00+00:00,upi,GW_AMB0075_B
