component_id,settlement_id,component_type,source_event_id,amount_paise,direction
COMP_PAY_0001,SET_0001,PAYMENT,PAY_0001,242195,CREDIT
COMP_FEE_0001,SET_0001,GATEWAY_FEE,PAY_0001,4843,DEBIT
COMP_TAX_0001,SET_0001,TAX_ON_FEE,PAY_0001,871,DEBIT
COMP_PAY_0002,SET_0002,PAYMENT,PAY_0002,366272,CREDIT
COMP_FEE_0002,SET_0002,GATEWAY_FEE,PAY_0002,7325,DEBIT
COMP_TAX_0002,SET_0002,TAX_ON_FEE,PAY_0002,1318,DEBIT
COMP_PAY_0003,SET_0003,PAYMENT,PAY_0003,78944,CREDIT
COMP_FEE_0003,SET_0003,GATEWAY_FEE,PAY_0003,1578,DEBIT
COMP_TAX_0003,SET_0003,TAX_ON_FEE,PAY_0003,284,DEBIT
COMP_PAY_0004,SET_0004,PAYMENT,PAY_0004,154523,CREDIT
COMP_FEE_0004,SET_0004,GATEWAY_FEE,PAY_0004,3090,DEBIT
COMP_TAX_0004,SET_0004,TAX_ON_FEE,PAY_0004,556,DEBIT
COMP_PAY_0005,SET_0005,PAYMENT,PAY_0005,153541,CREDIT
COMP_FEE_0005,SET_0005,GATEWAY_FEE,PAY_0005,3070,DEBIT
COMP_TAX_0005,SET_0005,TAX_ON_FEE,PAY_0005,552,DEBIT
COMP_PAY_0006,SET_0006,PAYMENT,PAY_0006,440438,CREDIT
COMP_FEE_0006,SET_0006,GATEWAY_FEE,PAY_0006,8808,DEBIT
COMP_TAX_0006,SET_0006,TAX_ON_FEE,PAY_0006,1585,DEBIT
COMP_PAY_0007,SET_0007,PAYMENT,PAY_0007,108901,CREDIT
COMP_FEE_0007,SET_0007,GATEWAY_FEE,PAY_0007,2178,DEBIT
COMP_TAX_0007,SET_0007,TAX_ON_FEE,PAY_0007,392,DEBIT
COMP_PAY_0008,SET_0008,PAYMENT,PAY_0008,482774,CREDIT
COMP_FEE_0008,SET_0008,GATEWAY_FEE,PAY_0008,9655,DEBIT
COMP_TAX_0008,SET_0008,TAX_ON_FEE,PAY_0008,1737,DEBIT
COMP_PAY_0009,SET_0009,PAYMENT,PAY_0009,206979,CREDIT
COMP_FEE_0009,SET_0009,GATEWAY_FEE,PAY_0009,4139,DEBIT
COMP_TAX_0009,SET_0009,TAX_ON_FEE,PAY_0009,745,DEBIT
COMP_PAY_0010,SET_0010,PAYMENT,PAY_0010,71633,CREDIT
COMP_FEE_0010,SET_0010,GATEWAY_FEE,PAY_0010,1432,DEBIT
COMP_TAX_0010,SET_0010,TAX_ON_FEE,PAY_0010,257,DEBIT
COMP_PAY_0011,SET_0011,PAYMENT,PAY_0011,232054,CREDIT
COMP_FEE_0011,SET_0011,GATEWAY_FEE,PAY_0011,4641,DEBIT
COMP_TAX_0011,SET_0011,TAX_ON_FEE,PAY_0011,835,DEBIT
COMP_PAY_0012,SET_0012,PAYMENT,PAY_0012,111676,CREDIT
COMP_FEE_0012,SET_0012,GATEWAY_FEE,PAY_0012,2233,DEBIT
COMP_TAX_0012,SET_0012,TAX_ON_FEE,PAY_0012,401,DEBIT
COMP_PAY_0013,SET_0013,PAYMENT,PAY_0013,245710,CREDIT
COMP_FEE_0013,SET_0013,GATEWAY_FEE,PAY_0013,4914,DEBIT
COMP_TAX_0013,SET_0013,TAX_ON_FEE,PAY_0013,884,DEBIT
COMP_PAY_0014,SET_0014,PAYMENT,PAY_0014,116451,CREDIT
COMP_FEE_0014,SET_0014,GATEWAY_FEE,PAY_0014,2329,DEBIT
COMP_TAX_0014,SET_0014,TAX_ON_FEE,PAY_0014,419,DEBIT
COMP_PAY_0015,SET_0015,PAYMENT,PAY_0015,346050,CREDIT
COMP_FEE_0015,SET_0015,GATEWAY_FEE,PAY_0015,6921,DEBIT
COMP_TAX_0015,SET_0015,TAX_ON_FEE,PAY_0015,1245,DEBIT
COMP_PAY_0016,SET_0016,PAYMENT,PAY_0016,186336,CREDIT
COMP_FEE_0016,SET_0016,GATEWAY_FEE,PAY_0016,3726,DEBIT
COMP_TAX_0016,SET_0016,TAX_ON_FEE,PAY_0016,670,DEBIT
COMP_PAY_0017,SET_0017,PAYMENT,PAY_0017,454132,CREDIT
COMP_FEE_0017,SET_0017,GATEWAY_FEE,PAY_0017,9082,DEBIT
COMP_TAX_0017,SET_0017,TAX_ON_FEE,PAY_0017,1634,DEBIT
COMP_PAY_0018,SET_0018,PAYMENT,PAY_0018,432399,CREDIT
COMP_FEE_0018,SET_0018,GATEWAY_FEE,PAY_0018,8647,DEBIT
COMP_TAX_0018,SET_0018,TAX_ON_FEE,PAY_0018,1556,DEBIT
COMP_PAY_0019,SET_0019,PAYMENT,PAY_0019,379734,CREDIT
COMP_FEE_0019,SET_0019,GATEWAY_FEE,PAY_0019,7594,DEBIT
COMP_TAX_0019,SET_0019,TAX_ON_FEE,PAY_0019,1366,DEBIT
COMP_PAY_0020,SET_0020,PAYMENT,PAY_0020,465454,CREDIT
COMP_FEE_0020,SET_0020,GATEWAY_FEE,PAY_0020,9309,DEBIT
COMP_TAX_0020,SET_0020,TAX_ON_FEE,PAY_0020,1675,DEBIT
COMP_PAY_B0021_0,SET_BATCH_0021,PAYMENT,PAY_B0021_0,105748,CREDIT
COMP_FEE_B0021_0,SET_BATCH_0021,GATEWAY_FEE,PAY_B0021_0,2114,DEBIT
COMP_TAX_B0021_0,SET_BATCH_0021,TAX_ON_FEE,PAY_B0021_0,380,DEBIT
COMP_PAY_B0021_1,SET_BATCH_0021,PAYMENT,PAY_B0021_1,183033,CREDIT
COMP_FEE_B0021_1,SET_BATCH_0021,GATEWAY_FEE,PAY_B0021_1,3660,DEBIT
COMP_TAX_B0021_1,SET_BATCH_0021,TAX_ON_FEE,PAY_B0021_1,658,DEBIT
COMP_PAY_B0021_2,SET_BATCH_0021,PAYMENT,PAY_B0021_2,89330,CREDIT
COMP_FEE_B0021_2,SET_BATCH_0021,GATEWAY_FEE,PAY_B0021_2,1786,DEBIT
COMP_TAX_B0021_2,SET_BATCH_0021,TAX_ON_FEE,PAY_B0021_2,321,DEBIT
COMP_PAY_B0021_3,SET_BATCH_0021,PAYMENT,PAY_B0021_3,108881,CREDIT
COMP_FEE_B0021_3,SET_BATCH_0021,GATEWAY_FEE,PAY_B0021_3,2177,DEBIT
COMP_TAX_B0021_3,SET_BATCH_0021,TAX_ON_FEE,PAY_B0021_3,391,DEBIT
COMP_PAY_B0022_0,SET_BATCH_0022,PAYMENT,PAY_B0022_0,199289,CREDIT
COMP_FEE_B0022_0,SET_BATCH_0022,GATEWAY_FEE,PAY_B0022_0,3985,DEBIT
COMP_TAX_B0022_0,SET_BATCH_0022,TAX_ON_FEE,PAY_B0022_0,717,DEBIT
COMP_PAY_B0022_1,SET_BATCH_0022,PAYMENT,PAY_B0022_1,131319,CREDIT
COMP_FEE_B0022_1,SET_BATCH_0022,GATEWAY_FEE,PAY_B0022_1,2626,DEBIT
COMP_TAX_B0022_1,SET_BATCH_0022,TAX_ON_FEE,PAY_B0022_1,472,DEBIT
COMP_PAY_B0022_2,SET_BATCH_0022,PAYMENT,PAY_B0022_2,175053,CREDIT
COMP_FEE_B0022_2,SET_BATCH_0022,GATEWAY_FEE,PAY_B0022_2,3501,DEBIT
COMP_TAX_B0022_2,SET_BATCH_0022,TAX_ON_FEE,PAY_B0022_2,630,DEBIT
COMP_PAY_B0022_3,SET_BATCH_0022,PAYMENT,PAY_B0022_3,174955,CREDIT
COMP_FEE_B0022_3,SET_BATCH_0022,GATEWAY_FEE,PAY_B0022_3,3499,DEBIT
COMP_TAX_B0022_3,SET_BATCH_0022,TAX_ON_FEE,PAY_B0022_3,629,DEBIT
COMP_PAY_B0022_4,SET_BATCH_0022,PAYMENT,PAY_B0022_4,193202,CREDIT
COMP_FEE_B0022_4,SET_BATCH_0022,GATEWAY_FEE,PAY_B0022_4,3864,DEBIT
COMP_TAX_B0022_4,SET_BATCH_0022,TAX_ON_FEE,PAY_B0022_4,695,DEBIT
COMP_PAY_B0022_5,SET_BATCH_0022,PAYMENT,PAY_B0022_5,152556,CREDIT
COMP_FEE_B0022_5,SET_BATCH_0022,GATEWAY_FEE,PAY_B0022_5,3051,DEBIT
COMP_TAX_B0022_5,SET_BATCH_0022,TAX_ON_FEE,PAY_B0022_5,549,DEBIT
COMP_PAY_B0023_0,SET_BATCH_0023,PAYMENT,PAY_B0023_0,30186,CREDIT
COMP_FEE_B0023_0,SET_BATCH_0023,GATEWAY_FEE,PAY_B0023_0,603,DEBIT
COMP_TAX_B0023_0,SET_BATCH_0023,TAX_ON_FEE,PAY_B0023_0,108,DEBIT
COMP_PAY_B0023_1,SET_BATCH_0023,PAYMENT,PAY_B0023_1,190844,CREDIT
COMP_FEE_B0023_1,SET_BATCH_0023,GATEWAY_FEE,PAY_B0023_1,3816,DEBIT
COMP_TAX_B0023_1,SET_BATCH_0023,TAX_ON_FEE,PAY_B0023_1,686,DEBIT
COMP_PAY_B0023_2,SET_BATCH_0023,PAYMENT,PAY_B0023_2,58321,CREDIT
COMP_FEE_B0023_2,SET_BATCH_0023,GATEWAY_FEE,PAY_B0023_2,1166,DEBIT
COMP_TAX_B0023_2,SET_BATCH_0023,TAX_ON_FEE,PAY_B0023_2,209,DEBIT
COMP_PAY_B0024_0,SET_BATCH_0024,PAYMENT,PAY_B0024_0,34879,CREDIT
COMP_FEE_B0024_0,SET_BATCH_0024,GATEWAY_FEE,PAY_B0024_0,697,DEBIT
COMP_TAX_B0024_0,SET_BATCH_0024,TAX_ON_FEE,PAY_B0024_0,125,DEBIT
COMP_PAY_B0024_1,SET_BATCH_0024,PAYMENT,PAY_B0024_1,160084,CREDIT
COMP_FEE_B0024_1,SET_BATCH_0024,GATEWAY_FEE,PAY_B0024_1,3201,DEBIT
COMP_TAX_B0024_1,SET_BATCH_0024,TAX_ON_FEE,PAY_B0024_1,576,DEBIT
COMP_PAY_B0024_2,SET_BATCH_0024,PAYMENT,PAY_B0024_2,33849,CREDIT
COMP_FEE_B0024_2,SET_BATCH_0024,GATEWAY_FEE,PAY_B0024_2,676,DEBIT
COMP_TAX_B0024_2,SET_BATCH_0024,TAX_ON_FEE,PAY_B0024_2,121,DEBIT
COMP_PAY_B0025_0,SET_BATCH_0025,PAYMENT,PAY_B0025_0,188227,CREDIT
COMP_FEE_B0025_0,SET_BATCH_0025,GATEWAY_FEE,PAY_B0025_0,3764,DEBIT
COMP_TAX_B0025_0,SET_BATCH_0025,TAX_ON_FEE,PAY_B0025_0,677,DEBIT
COMP_PAY_B0025_1,SET_BATCH_0025,PAYMENT,PAY_B0025_1,47600,CREDIT
COMP_FEE_B0025_1,SET_BATCH_0025,GATEWAY_FEE,PAY_B0025_1,952,DEBIT
COMP_TAX_B0025_1,SET_BATCH_0025,TAX_ON_FEE,PAY_B0025_1,171,DEBIT
COMP_PAY_B0025_2,SET_BATCH_0025,PAYMENT,PAY_B0025_2,143070,CREDIT
COMP_FEE_B0025_2,SET_BATCH_0025,GATEWAY_FEE,PAY_B0025_2,2861,DEBIT
COMP_TAX_B0025_2,SET_BATCH_0025,TAX_ON_FEE,PAY_B0025_2,514,DEBIT
COMP_PAY_B0025_3,SET_BATCH_0025,PAYMENT,PAY_B0025_3,51904,CREDIT
COMP_FEE_B0025_3,SET_BATCH_0025,GATEWAY_FEE,PAY_B0025_3,1038,DEBIT
COMP_TAX_B0025_3,SET_BATCH_0025,TAX_ON_FEE,PAY_B0025_3,186,DEBIT
COMP_PAY_B0026_0,SET_BATCH_0026,PAYMENT,PAY_B0026_0,115011,CREDIT
COMP_FEE_B0026_0,SET_BATCH_0026,GATEWAY_FEE,PAY_B0026_0,2300,DEBIT
COMP_TAX_B0026_0,SET_BATCH_0026,TAX_ON_FEE,PAY_B0026_0,414,DEBIT
COMP_PAY_B0026_1,SET_BATCH_0026,PAYMENT,PAY_B0026_1,81539,CREDIT
COMP_FEE_B0026_1,SET_BATCH_0026,GATEWAY_FEE,PAY_B0026_1,1630,DEBIT
