settlement_id,merchant_id,settlement_status,currency,net_amount_paise,initiated_at,processed_at,expected_bank_date,utr
SET_0001,MERCHANT_001,processed,INR,236481,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTR0001
SET_0002,MERCHANT_001,processed,INR,357629,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTR0002
SET_0003,MERCHANT_001,processed,INR,77082,2026-08-06T14:00:00+00:00,2026-08-06T16:00:00+00:00,2026-08-07,UTR0003
SET_0004,MERCHANT_001,processed,INR,150877,2026-08-06T14:00:00+00:00,2026-08-06T16:00:00+00:00,2026-08-07,UTR0004
SET_0005,MERCHANT_001,processed,INR,149919,2026-08-05T14:00:00+00:00,2026-08-05T16:00:00+00:00,2026-08-06,UTR0005
SET_0006,MERCHANT_001,processed,INR,430045,2026-08-05T14:00:00+00:00,2026-08-05T16:00:00+00:00,2026-08-06,UTR0006
SET_0007,MERCHANT_001,processed,INR,106331,2026-08-11T14:00:00+00:00,2026-08-11T16:00:00+00:00,2026-08-12,UTR0007
SET_0008,MERCHANT_001,processed,INR,471382,2026-08-14T14:00:00+00:00,2026-08-14T16:00:00+00:00,2026-08-17,UTR0008
SET_0009,MERCHANT_001,processed,INR,202095,2026-08-07T14:00:00+00:00,2026-08-07T16:00:00+00:00,2026-08-10,UTR0009
SET_0010,MERCHANT_001,processed,INR,69944,2026-08-05T14:00:00+00:00,2026-08-05T16:00:00+00:00,2026-08-06,UTR0010
SET_0011,MERCHANT_001,processed,INR,226578,2026-08-12T14:00:00+00:00,2026-08-12T16:00:00+00:00,2026-08-13,UTR0011
SET_0012,MERCHANT_001,processed,INR,109042,2026-08-14T14:00:00+00:00,2026-08-14T16:00:00+00:00,2026-08-17,UTR0012
SET_0013,MERCHANT_001,processed,INR,239912,2026-08-05T14:00:00+00:00,2026-08-05T16:00:00+00:00,2026-08-06,UTR0013
SET_0014,MERCHANT_001,processed,INR,113703,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTR0014
SET_0015,MERCHANT_001,processed,INR,337884,2026-08-06T14:00:00+00:00,2026-08-06T16:00:00+00:00,2026-08-07,UTR0015
SET_0016,MERCHANT_001,processed,INR,181940,2026-08-07T14:00:00+00:00,2026-08-07T16:00:00+00:00,2026-08-10,UTR0016
SET_0017,MERCHANT_001,processed,INR,443416,2026-08-11T14:00:00+00:00,2026-08-11T16:00:00+00:00,2026-08-12,UTR0017
SET_0018,MERCHANT_001,processed,INR,422196,2026-08-04T14:00:00+00:00,2026-08-04T16:00:00+00:00,2026-08-05,UTR0018
SET_0019,MERCHANT_001,processed,INR,370774,2026-08-03T14:00:00+00:00,2026-08-03T16:00:00+00:00,2026-08-04,UTR0019
SET_0020,MERCHANT_001,processed,INR,454470,2026-08-17T14:00:00+00:00,2026-08-17T16:00:00+00:00,2026-08-18,UTR0020
SET_BATCH_0021,MERCHANT_001,processed,INR,475505,2026-08-13T14:00:00+00:00,2026-08-13T16:00:00+00:00,2026-08-14,UTR_BATCH_0021
SET_BATCH_0022,MERCHANT_001,processed,INR,1002156,2026-08-11T14:00:00+00:00,2026-08-11T16:00:00+00:00,2026-08-12,UTR_BATCH_0022
SET_BATCH_0023,MERCHANT_001,processed,INR,272763,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTR_BATCH_0023
SET_BATCH_0024,MERCHANT_001,processed,INR,223416,2026-08-05T14:00:00+00:00,2026-08-05T16:00:00+00:00,2026-08-06,UTR_BATCH_0024
SET_BATCH_0025,MERCHANT_001,processed,INR,420638,2026-08-05T14:00:00+00:00,2026-08-05T16:00:00+00:00,2026-08-06,UTR_BATCH_0025
SET_BATCH_0026,MERCHANT_001,processed,INR,280819,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTR_BATCH_0026
SET_BATCH_0027,MERCHANT_001,processed,INR,480851,2026-08-07T14:00:00+00:00,2026-08-07T16:00:00+00:00,2026-08-10,UTR_BATCH_0027
SET_BATCH_0028,MERCHANT_001,processed,INR,288840,2026-08-11T14:00:00+00:00,2026-08-11T16:00:00+00:00,2026-08-12,UTR_BATCH_0028
SET_BATCH_0029,MERCHANT_001,processed,INR,646066,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTR_BATCH_0029
SET_BATCH_0030,MERCHANT_001,processed,INR,489550,2026-08-11T14:00:00+00:00,2026-08-11T16:00:00+00:00,2026-08-12,UTR_BATCH_0030
SET_T0031,MERCHANT_001,processed,INR,47518,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRT0031
SET_T0032,MERCHANT_001,processed,INR,326675,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRT0032
SET_T0033,MERCHANT_001,processed,INR,90021,2026-08-06T14:00:00+00:00,2026-08-06T16:00:00+00:00,2026-08-07,UTRT0033
SET_T0034,MERCHANT_001,processed,INR,48792,2026-08-04T14:00:00+00:00,2026-08-04T16:00:00+00:00,2026-08-05,UTRT0034
SET_T0035,MERCHANT_001,processed,INR,43305,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRT0035
SET_T0036,MERCHANT_001,processed,INR,296075,2026-08-07T14:00:00+00:00,2026-08-07T16:00:00+00:00,2026-08-10,UTRT0036
SET_T0037,MERCHANT_001,processed,INR,267053,2026-08-03T14:00:00+00:00,2026-08-03T16:00:00+00:00,2026-08-04,UTRT0037
SET_H0038,MERCHANT_001,processed,INR,222809,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRH0038
SET_H0039,MERCHANT_001,processed,INR,69202,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRH0039
SET_H0040,MERCHANT_001,processed,INR,60095,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRH0040
SET_H0041,MERCHANT_001,processed,INR,100188,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRH0041
SET_R0042,MERCHANT_001,processed,INR,-8641,2026-08-07T14:00:00+00:00,2026-08-07T16:00:00+00:00,2026-08-10,UTRR0042
SET_R0043,MERCHANT_001,processed,INR,202245,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRR0043
SET_R0044,MERCHANT_001,processed,INR,-2856,2026-08-11T14:00:00+00:00,2026-08-11T16:00:00+00:00,2026-08-12,UTRR0044
SET_R0045,MERCHANT_001,processed,INR,-4627,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRR0045
SET_R0046,MERCHANT_001,processed,INR,-4568,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRR0046
SET_R0047,MERCHANT_001,processed,INR,-7117,2026-08-03T14:00:00+00:00,2026-08-03T16:00:00+00:00,2026-08-04,UTRR0047
SET_CB0048,MERCHANT_001,processed,INR,313149,2026-08-13T14:00:00+00:00,2026-08-13T16:00:00+00:00,2026-08-14,UTRCB0048
SET_CB0049,MERCHANT_001,processed,INR,24265,2026-08-12T14:00:00+00:00,2026-08-12T16:00:00+00:00,2026-08-13,UTRCB0049
SET_CB0050,MERCHANT_001,processed,INR,337079,2026-08-12T14:00:00+00:00,2026-08-12T16:00:00+00:00,2026-08-13,UTRCB0050
SET_CB0051,MERCHANT_001,processed,INR,339718,2026-08-13T14:00:00+00:00,2026-08-13T16:00:00+00:00,2026-08-14,UTRCB0051
SET_SP0052,MERCHANT_001,processed,INR,482563,2026-08-12T14:00:00+00:00,2026-08-12T16:00:00+00:00,2026-08-13,UTRSP0052
SET_SP0053,MERCHANT_001,processed,INR,683638,2026-08-04T14:00:00+00:00,2026-08-04T16:00:00+00:00,2026-08-05,UTRSP0053
SET_SP0054,MERCHANT_001,processed,INR,524160,2026-08-07T14:00:00+00:00,2026-08-07T16:00:00+00:00,2026-08-10,UTRSP0054
SET_SP0055,MERCHANT_001,processed,INR,448720,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRSP0055
SET_FV0056,MERCHANT_001,processed,INR,456343,2026-08-13T14:00:00+00:00,2026-08-13T16:00:00+00:00,2026-08-14,UTRFV0056
SET_FV0057,MERCHANT_001,processed,INR,109279,2026-08-06T14:00:00+00:00,2026-08-06T16:00:00+00:00,2026-08-07,UTRFV0057
SET_FV0058,MERCHANT_001,processed,INR,202310,2026-08-04T14:00:00+00:00,2026-08-04T16:00:00+00:00,2026-08-05,UTRFV0058
SET_FV0059,MERCHANT_001,processed,INR,138151,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRFV0059
SET_MN0060,MERCHANT_001,processed,INR,132029,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRMN0060
SET_MN0061,MERCHANT_001,processed,INR,214354,2026-08-04T14:00:00+00:00,2026-08-04T16:00:00+00:00,2026-08-05,UTRMN0061
SET_MN0062,MERCHANT_001,processed,INR,122392,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRMN0062
SET_MN0063,MERCHANT_001,processed,INR,247707,2026-08-11T14:00:00+00:00,2026-08-11T16:00:00+00:00,2026-08-12,UTRMN0063
SET_MN0064,MERCHANT_001,processed,INR,223157,2026-08-10T14:00:00+00:00,2026-08-10T16:00:00+00:00,2026-08-11,UTRMN0064
SET_MS0069,MERCHANT_001,processed,INR,342328,2026-08-03T14:00:00+00:00,2026-08-03T16:00:00+00:00,2026-08-04,UTRMS0069
SET_MS0070,MERCHANT_001,processed,INR,385123,2026-08-03T14:00:00+00:00,2026-08-03T16:00:00+00:00,2026-08-04,UTRMS0070
